Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
200,"N Jiang, K Liu, T Lutellier, L Tan","Impact of code language models on automated program repair",2023,"2023 IEEE/ACM 45th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10172517/","https://scholar.google.com/scholar?cites=5690945182312093999&as_sdt=2005&sciodt=2007&hl=en",16,"2025-03-14 11:09:45","","","","",,,,,200,100.00,50,4,2,"… developers improve software reliability by generating patches automatically to repair software … ask: do code language models bring improvement to automated program repair and how? …","https://arxiv.org/pdf/2302.05020","https://scholar.google.com/scholar?q=related:L9nuy31M-k4J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
132,"E First, MN Rabe, T Ringer, Y Brun","Baldur: Whole-proof generation and repair with large language models",2023,"Proceedings of the 31st ACM Joint …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3611643.3616243","https://scholar.google.com/scholar?cites=3109420433114543079&as_sdt=2005&sciodt=2007&hl=en",18,"2025-03-14 11:09:45","","10.1145/3611643.3616243","","",,,,,132,66.00,33,4,2,"… proof attempt and the ensuing error message, results in proof repair that further improves automated proof … new state of the art for fully automated proof synthesis. We reify our method in …","https://dl.acm.org/doi/pdf/10.1145/3611643.3616243","https://scholar.google.com/scholar?q=related:5zMi1WjhJisJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
196,"M Fu, C Tantithamthavorn, T Le, V Nguyen, ...","VulRepair: a T5-based automated software vulnerability repair",2022,"Proceedings of the 30th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3540250.3549098","https://scholar.google.com/scholar?cites=10149940047632970558&as_sdt=2005&sciodt=2007&hl=en",24,"2025-03-14 11:09:45","","10.1145/3540250.3549098","","",,,,,196,65.33,39,5,3,"… Automated Vulnerability Repairs. Our additional investigation also shows that our VulRepair can accurately repair as … of our VulRepair for generating vulnerability repairs, helping under-…","https://www.researchgate.net/profile/Chakkrit-Tantithamthavorn/publication/362092639_VulRepair_A_T5-Based_Automated_Software_Vulnerability_Repair/links/6345ea1076e39959d6b73228/VulRepair-A-T5-Based-Automated-Software-Vulnerability-Repair.pdf","https://scholar.google.com/scholar?q=related:PrOsVrLU24wJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
63,"I Bouzenia, P Devanbu, M Pradel","Repairagent: An autonomous, llm-based agent for program repair",2024,"arXiv preprint arXiv:2403.17134","arxiv.org","https://arxiv.org/abs/2403.17134","https://scholar.google.com/scholar?cites=15142625290678404182&as_sdt=2005&sciodt=2007&hl=en",44,"2025-03-14 11:09:45","","","","",,,,,63,63.00,21,3,1,"… In the context of software engineering, and automated repair in … for the challenging task of automated program repair. … Copra is an agent-based approach for formal theorem proving [68]. …","https://arxiv.org/pdf/2403.17134","https://scholar.google.com/scholar?q=related:VoS7CXlpJdIJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
115,"Q Zhang, C Fang, Y Ma, W Sun, Z Chen","A survey of learning-based automated program repair",2023,"ACM Transactions on Software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3631974","https://scholar.google.com/scholar?cites=8911273619899916717&as_sdt=2005&sciodt=2007&hl=en",2,"2025-03-14 11:09:45","","10.1145/3631974","","",,,,,115,57.50,23,5,2,"Automated program repair (APR) aims to fix software bugs automatically and plays a crucial role in software development and maintenance. With the recent advances in deep learning (…","https://arxiv.org/pdf/2301.03270","https://scholar.google.com/scholar?q=related:raFxsiQ0q3sJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
112,"Y Wei, CS Xia, L Zhang","Copiloting the copilots: Fusing large language models with completion engines for automated program repair",2023,"Proceedings of the 31st ACM Joint European …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3611643.3616271","https://scholar.google.com/scholar?cites=4509686222233001071&as_sdt=2005&sciodt=2007&hl=en",25,"2025-03-14 11:09:45","","10.1145/3611643.3616271","","",,,,,112,56.00,37,3,2,"… 2.3 Automated Program Repair Automated Program Repair (APR) aims to generate patches … On the basis of Lemmas 4.1 to 4.3, we can easily prove that Repilot’s overall algorithm is …","https://dl.acm.org/doi/pdf/10.1145/3611643.3616271","https://scholar.google.com/scholar?q=related:b9yrzLmflT4J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
99,"Y Wu, N Jiang, HV Pham, T Lutellier, J Davis, ...","How effective are neural networks for fixing security vulnerabilities",2023,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3597926.3598135","https://scholar.google.com/scholar?cites=6586857902863963512&as_sdt=2005&sciodt=2007&hl=en",99,"2025-03-14 11:09:45","","10.1145/3597926.3598135","","",,,,,99,49.50,17,6,2,"… (Section 6.2) • We create two Java vulnerability benchmarks for automated program repair: (1) … Then we apply Codex to repair these transformed programs to prove that Codex is indeed …","https://dl.acm.org/doi/pdf/10.1145/3597926.3598135","https://scholar.google.com/scholar?q=related:eFUuLl04aVsJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
122,"Y Li, S Wang, TN Nguyen","Dear: A novel deep learning-based approach for automated program repair",2022,"… of the 44th international conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510003.3510177","https://scholar.google.com/scholar?cites=17160855198028282383&as_sdt=2005&sciodt=2007&hl=en",14,"2025-03-14 11:09:45","","10.1145/3510003.3510177","","",,,,,122,40.67,41,3,3,"… The existing deep learning (DL)-based automated program repair (APR) models are limited … Such approaches are referred to as automated program repair (APR). The APR approaches …","https://dl.acm.org/doi/pdf/10.1145/3510003.3510177","https://scholar.google.com/scholar?q=related:DzpkaOGaJ-4J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
77,"N Tihanyi, R Jain, Y Charalambous, MA Ferrag, ...","A new era in software security: Towards self-healing software via large language models and formal verification",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2305.14752","https://scholar.google.com/scholar?cites=17342284413158123647&as_sdt=2005&sciodt=2007&hl=en",77,"2025-03-14 11:09:45","","","","",,,,,77,38.50,15,5,2,"… We present the ESBMC-AI framework as a proof of … automated program repair techniques. Indeed, leveraging LLMs holds potential in vulnerability detection and Automatic Code Repair …","https://arxiv.org/pdf/2305.14752","https://scholar.google.com/scholar?q=related:f2gVWMorrPAJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
76,"Q Zhang, T Zhang, J Zhai, C Fang, B Yu, W Sun, ...","A critical review of large language model on software engineering: An example from chatgpt and automated program repair",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2310.08879","https://scholar.google.com/scholar?cites=10561326499852266930&as_sdt=2005&sciodt=2007&hl=en",13,"2025-03-14 11:09:45","","","","",,,,,76,38.00,11,7,2,"… Engineering (SE) tasks, such as Automated Program Repair (APR), code summarization, and … the corresponding fixed programs from competitive programming problems starting from …","https://arxiv.org/pdf/2310.08879","https://scholar.google.com/scholar?q=related:si2dzH5ekZIJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
37,"Q Zhang, C Fang, Y Xie, YX Ma, W Sun, Y Yang, ...","A systematic literature review on large language models for automated program repair",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.01466","https://scholar.google.com/scholar?cites=684364348744560762&as_sdt=2005&sciodt=2007&hl=en",4,"2025-03-14 11:09:45","","","","",,,,,37,37.00,5,7,1,"… LLM-based approach to automate the generation and repair of whole formal proofs. Baldur … proofs for theorems on a proof dataset, and then fine-tunes a repair model based on the proof …","https://arxiv.org/pdf/2405.01466","https://scholar.google.com/scholar?q=related:enDcz79ZfwkJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
28,"C Wen, J Cao, J Su, Z Xu, S Qin, M He, H Li, ...","Enchanting program specification synthesis by large language models using static analysis and program verification",2024,"… on Computer Aided …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-65630-9_16","https://scholar.google.com/scholar?cites=2104494091179132178&as_sdt=2005&sciodt=2007&hl=en",76,"2025-03-14 11:09:45","HTML","10.1007/978-3-031-65630-9_16","","",,,,,28,28.00,4,8,1,"… program and a property to be verified, we expect the specifications that are sufficient for a full proof … Automated program repair in the era of large pre-trained language models. In: 45th …","https://link.springer.com/chapter/10.1007/978-3-031-65630-9_16","https://scholar.google.com/scholar?q=related:EgWk0DmqNB0J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
54,"Q Zhang, C Fang, T Zhang, B Yu, ...","Gamma: Revisiting template-based automated program repair via mask prediction",2023,"… on Automated …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10298335/","https://scholar.google.com/scholar?cites=8619851888536407161&as_sdt=2005&sciodt=2007&hl=en",38,"2025-03-14 11:09:45","","","","",,,,,54,27.00,11,5,2,"… We also prove that adopting other pre-trained language models can provide substantial advancement, eg, CodeBERT-based and ChatGPTbased GAMMA is able to fix 80 and 67 bugs …","https://arxiv.org/pdf/2309.09308","https://scholar.google.com/scholar?q=related:eUyxaJ_dn3cJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
71,"W Yuan, Q Zhang, T He, C Fang, NQV Hung, ...","CIRCLE: Continual repair across programming languages",2022,"Proceedings of the 31st …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3533767.3534219","https://scholar.google.com/scholar?cites=4898224311713338379&as_sdt=2005&sciodt=2007&hl=en",42,"2025-03-14 11:09:45","","10.1145/3533767.3534219","","",,,,,71,23.67,12,6,3,"… Program Repair (APR) aims at fixing buggy source code with less manual debugging efforts, which plays a vital role in improving … learning for automated program repair. In Proceedings …","https://arxiv.org/pdf/2205.10956","https://scholar.google.com/scholar?q=related:CxTbQQ_9-UMJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
69,"X Meng, X Wang, H Zhang, H Sun, X Liu","Improving fault localization and program repair with deep semantic features and transferred knowledge",2022,"Proceedings of the 44th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510003.3510147","https://scholar.google.com/scholar?cites=7715100005616090768&as_sdt=2005&sciodt=2007&hl=en",82,"2025-03-14 11:09:45","","10.1145/3510003.3510147","","",,,,,69,23.00,14,5,3,"… For the automated program repair task, our APR method (TRANSFER-PR) outperforms both the … are better than those of all other variants, proving that each feature group has a positive …","https://scholar.archive.org/work/uo3mqem4qrf4lcmfyk3lsb4o7e/access/wayback/https://dl.acm.org/doi/pdf/10.1145/3510003.3510147","https://scholar.google.com/scholar?q=related:kH5cKZSKEWsJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
44,"Q Zhang, C Fang, B Yu, W Sun, ...","Pre-trained model-based automated software vulnerability repair: How far are we?",2023,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10232867/","https://scholar.google.com/scholar?cites=15570278110564293317&as_sdt=2005&sciodt=2007&hl=en",91,"2025-03-14 11:09:45","","","","",,,,,44,22.00,9,5,2,"… Different types of vulnerabilities may exhibit varying debugging efforts, as some vulnerabilities might prove more challenging to repair. The CWE denotes a list of vulnerability weakness …","https://arxiv.org/pdf/2308.12533","https://scholar.google.com/scholar?q=related:xZo5WnK9FNgJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
36,"K Huang, Z Xu, S Yang, H Sun, X Li, Z Yan, ...","A survey on automated program repair techniques",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2303.18184","https://scholar.google.com/scholar?cites=2767967828611569410&as_sdt=2005&sciodt=2007&hl=en",11,"2025-03-14 11:09:45","","","","",,,,,36,18.00,5,7,2,"… program repair problems; they only support simple single-line fixes, which limits their repair … allows them to scale to complex program repair problems and have greater repair ability. …","https://arxiv.org/pdf/2303.18184","https://scholar.google.com/scholar?q=related:AhcaJhPMaSYJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
16,"B Yang, H Tian, J Ren, H Zhang, J Klein, ...","Multi-objective fine-tuning for enhanced program repair with llms",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2404.12636","https://scholar.google.com/scholar?cites=14133754792051543344&as_sdt=2005&sciodt=2007&hl=en",84,"2025-03-14 11:09:45","","","","",,,,,16,16.00,3,6,1,"… models for program repair, Fine-tune-CoT and RepairLLaMA. … code-related tasks, automated program repair (APR) has … on automated program repair, proving its ability to enhance …","https://arxiv.org/pdf/2404.12636","https://scholar.google.com/scholar?q=related:MA21ehkvJcQJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
46,"QC Bui, R Scandariato, NED Ferreyra","Vul4J: a dataset of reproducible Java vulnerabilities geared towards the study of program repair techniques",2022,"Proceedings of the 19th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3524842.3528482","https://scholar.google.com/scholar?cites=16031224443506565193&as_sdt=2005&sciodt=2007&hl=en",53,"2025-03-14 11:09:45","","10.1145/3524842.3528482","","",,,,,46,15.33,15,3,3,"… and, most importantly, to a Proof of Vulnerability (PoV) test case. … Particularly, it targets the study of Automated Program Repair … of security patches via Automated Program Repair (APR) …","https://cuong.buiquang.com/papers/msr22.pdf","https://scholar.google.com/scholar?q=related:SaDEvbFZet4J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
14,"QC Bui, R Paramitha, DL Vu, F Massacci, ...","APR4Vul: an empirical study of automatic program repair techniques on real-world Java vulnerabilities",2024,"Empirical software …","Springer","https://link.springer.com/article/10.1007/s10664-023-10415-7","https://scholar.google.com/scholar?cites=6522317485520059360&as_sdt=2005&sciodt=2007&hl=en",34,"2025-03-14 11:09:45","HTML","10.1007/s10664-023-10415-7","","",,,,,14,14.00,3,5,1,"… could be a promising research avenue for Automated Program Repair (APR) techniques. In … In this work, the concept of Proof of Vulnerability (PoV) test (also known as negative test) …","https://link.springer.com/article/10.1007/s10664-023-10415-7","https://scholar.google.com/scholar?q=related:4Pu9RDLtg1oJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
28,"A Sanchez-Stern, E First, T Zhou, Z Kaufman, ...","Passport: Improving automated formal verification using identifiers",2023,"… on Programming …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3593374","https://scholar.google.com/scholar?cites=9495075646036073363&as_sdt=2005&sciodt=2007&hl=en",95,"2025-03-14 11:09:45","","10.1145/3593374","","",,,,,28,14.00,6,5,2,"… Tools that automate formal verification by learning from proof corpora to synthesize proofs … These tools are effective because of the richness of the data the proof corpora contain. This …","https://dl.acm.org/doi/pdf/10.1145/3593374","https://scholar.google.com/scholar?q=related:k1txNf5IxYMJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
14,"N Alshahwan, M Harman, I Harper, ...","Assured Offline LLM-Based Software Engineering",2024,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3643661.3643953","https://scholar.google.com/scholar?cites=17981401876421251414&as_sdt=2005&sciodt=2007&hl=en",96,"2025-03-14 11:09:45","","10.1145/3643661.3643953","","",,,,,14,14.00,4,4,1,"… Global optimization will also likely prove challenging for an automated approach using LLMs… challenging in closely related areas like automated program repair [31]. Global optimization …","https://dl.acm.org/doi/pdf/10.1145/3643661.3643953","https://scholar.google.com/scholar?q=related:VpGhr7zFivkJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
27,"H Wu, C Barrett, N Narodytska","Lemur: Integrating large language models in automated program verification",2023,"arXiv preprint arXiv:2310.04870","arxiv.org","https://arxiv.org/abs/2310.04870","https://scholar.google.com/scholar?cites=14009534725437761957&as_sdt=2005&sciodt=2007&hl=en",41,"2025-03-14 11:09:45","","","","",,,,,27,13.50,9,3,2,"… a proof calculus that combines LLMs and automated reasoners to prove properties of programs. … If we prove that q is FALSE, we can repair q by informing an LLM oracle that the property …","https://arxiv.org/pdf/2310.04870","https://scholar.google.com/scholar?q=related:pak3apvda8IJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
13,"P Orvalho, M Janota, V Manquinho","C-pack of ipas: A C90 program benchmark of introductory programming assignments",2024,"… on Automated Program Repair","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3643788.3648010","https://scholar.google.com/scholar?cites=6550003133810215481&as_sdt=2005&sciodt=2007&hl=en",90,"2025-03-14 11:09:45","","10.1145/3643788.3648010","","",,,,,13,13.00,4,3,1,"… in automated program repair techniques tailored for introductory programming assignments (IPAs)… These techniques leverage correct student implementations to provide automated, …","https://dl.acm.org/doi/pdf/10.1145/3643788.3648010","https://scholar.google.com/scholar?q=related:OQp0lCVJ5loJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
37,"UZ Ahmed, Z Fan, J Yi, OI Al-Bataineh, ...","Verifix: Verified repair of programming assignments",2022,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510418","https://scholar.google.com/scholar?cites=14518368609771878116&as_sdt=2005&sciodt=2007&hl=en",22,"2025-03-14 11:09:45","","10.1145/3510418","","",,,,,37,12.33,7,5,3,"… hindrance in deployment of automated program repair [29]. We show that verified repair is feasible and … Although automatically proving the equivalence between two programs remains …","https://arxiv.org/pdf/2106.16199","https://scholar.google.com/scholar?q=related:5HaiN1Sbe8kJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
36,"E First, Y Brun","Diversity-driven automated formal verification",2022,"Proceedings of the 44th International Conference on …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3510003.3510138","https://scholar.google.com/scholar?cites=8484489642169230324&as_sdt=2005&sciodt=2007&hl=en",71,"2025-03-14 11:09:45","","10.1145/3510003.3510138","","",,,,,36,12.00,18,2,3,"… use of diversity to increase the proving power of automated formal verification tools. Section 5 … Diva does not require a failing proof script, but our ideas could potentially be used to repair …","https://dl.acm.org/doi/pdf/10.1145/3510003.3510138","https://scholar.google.com/scholar?q=related:9GP6dWD2vnUJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
23,"X Meng, X Wang, H Zhang, H Sun, ...","Template-based neural program repair",2023,"2023 IEEE/ACM 45th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10172686/","https://scholar.google.com/scholar?cites=5872115303888667817&as_sdt=2005&sciodt=2007&hl=en",47,"2025-03-14 11:09:45","","","","",,,,,23,11.50,5,5,2,"… Abstract—In recent years, template-based and NMT-based automated program repair … However, the experimental results of TENURE prove that using patch IRs for model training …","","https://scholar.google.com/scholar?q=related:qURr0MHxfVEJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
11,"YA Xiao, C Yang, B Wang, ...","Accelerating patch validation for program repair with interception-based execution scheduling",2024,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10417068/","https://scholar.google.com/scholar?cites=17893897586232936540&as_sdt=2005&sciodt=2007&hl=en",50,"2025-03-14 11:09:45","","","","",,,,,11,11.00,3,4,1,"… Abstract—Long patch validation time is a limiting factor for automated program repair (APR). … Proof Sketch. The final capture and replay components consist of statements that deal with …","https://arxiv.org/pdf/2305.03955","https://scholar.google.com/scholar?q=related:XEiiegzlU_gJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
22,"F Ribeiro, JNC de Macedo, K Tsushima, ...","GPT-3-powered type error debugging: Investigating the use of large language models for code repair",2023,"Proceedings of the 16th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3623476.3623522","https://scholar.google.com/scholar?cites=5018592481524621030&as_sdt=2005&sciodt=2007&hl=en",54,"2025-03-14 11:09:45","","10.1145/3623476.3623522","","",,,,,22,11.00,6,4,2,"… ers from previous approaches, which aim to improve the quality of type error messages [12… results9; Fourth, our fully automated validation approach enabled us to validate other works …","https://repositorium.sdum.uminho.pt/bitstream/1822/89919/1/3623476.3623522.pdf","https://scholar.google.com/scholar?q=related:5p64tUWfpUUJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
33,"X Li, S Liu, R Feng, G Meng, X Xie, K Chen, ...","Transrepair: Context-aware program repair for compilation errors",2022,"… conference on automated …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3551349.3560422","https://scholar.google.com/scholar?cites=8373551714882573767&as_sdt=2005&sciodt=2007&hl=en",69,"2025-03-14 11:09:45","","10.1145/3551349.3560422","","",,,,,33,11.00,5,7,3,"… In summary: The diagnostic feedback plays a critical role in improving the repair accuracy, however the contextual information and the pointer mechanism is also beneficial for the …","https://dl.acm.org/doi/pdf/10.1145/3551349.3560422","https://scholar.google.com/scholar?q=related:x1XwcevUNHQJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
11,"S Chakraborty, G Ebner, S Bhat, S Fakhoury, ...","Towards neural synthesis for SMT-assisted proof-oriented programming",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.01787","https://scholar.google.com/scholar?cites=3050227926044042967&as_sdt=2005&sciodt=2007&hl=en",70,"2025-03-14 11:09:45","","","","",,,,,11,11.00,2,5,1,"… to automate the construction of proof-oriented programs, we curate a dataset of 600K lines of open-source F* programs and proofs… -tuned repair model to complete full proofs for Isabelle/…","https://arxiv.org/pdf/2405.01787","https://scholar.google.com/scholar?q=related:1-bUTyOWVCoJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
32,"Z Fan, X Gao, A Roychoudhury, ...","Improving automatically generated code from Codex via Automated Program Repair",2022,"arXiv preprint arXiv …","academia.edu","https://www.academia.edu/download/95266721/2205.10583.pdf","https://scholar.google.com/scholar?cites=4217575963372668411&as_sdt=2005&sciodt=2007&hl=en",8,"2025-03-14 11:09:45","PDF","","","",,,,,32,10.67,8,4,3,"… programs (or even programs which do not compile). In this paper, we systematically study whether automated program repair (… Improving automatically generated code from Codex via …","https://www.academia.edu/download/95266721/2205.10583.pdf","https://scholar.google.com/scholar?q=related:-8UNNv7WhzoJ:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
10,"U Kulsum, H Zhu, B Xu, M d'Amorim","A case study of llm for automated vulnerability repair: Assessing impact of reasoning and patch validation feedback",2024,"Proceedings of the 1st ACM …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3664646.3664770","https://scholar.google.com/scholar?cites=6714467030923340259&as_sdt=2005&sciodt=2007&hl=en",46,"2025-03-14 11:09:45","","10.1145/3664646.3664770","","",,,,,10,10.00,3,4,1,"… for automated program repair. They demonstrate that ChatRepair can bridge the semantic gap between the program under analysis and the LLM. ChatRepair automatically repairs bugs …","https://arxiv.org/pdf/2405.15690","https://scholar.google.com/scholar?q=related:4-lBmjCULl0J:scholar.google.com/&scioq=automated+program+repair+proof&hl=en&as_sdt=2007&as_ylo=2022&as_yhi=2024"
