Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1368,"DW Loveland","Automated theorem proving: A logical basis",2016,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=lsvSBQAAQBAJ&oi=fnd&pg=PP1&dq=automated+program+repair+proof+learning&ots=4wYuhpR3Lj&sig=Xdtmb9mDFpSLvc9rFYR8Y9y6mXs","https://scholar.google.com/scholar?cites=1422841032793172170&as_sdt=2005&sciodt=2007&hl=en",89,"2025-03-14 11:11:13","BOOK","","","",,,,,1368,152.00,1368,1,9,"… They then face the question of adequate repair. It seems pragmatically more efficient to … problem of plane geometry within the setting of theorem proving such as we will study here. …","","https://scholar.google.com/scholar?q=related:yqh8e2HyvhMJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1365,"C Le Goues, TV Nguyen, S Forrest, ...","Genprog: A generic method for automatic software repair",2011,"… on software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6035728/","https://scholar.google.com/scholar?cites=12888183638113311058&as_sdt=2005&sciodt=2007&hl=en",14,"2025-03-14 11:11:13","","","","",,,,,1365,97.50,341,4,14,"… We evaluated the quality of the generated repairs in the context of a proof-of-concept closed-loop repair system and showed that, for our case-study benchmarks, time lost to the …","https://web.eecs.umich.edu/~weimerw/p/weimer-tse2011-genprog-preprint.pdf","https://scholar.google.com/scholar?q=related:Utm-_bsG3LIJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
1532,"MD Ernst, JH Perkins, PJ Guo, S McCamant, ...","The Daikon system for dynamic detection of likely invariants",2007,"… computer programming","Elsevier","https://www.sciencedirect.com/science/article/pii/S016764230700161X","https://scholar.google.com/scholar?cites=7054766108279062619&as_sdt=2005&sciodt=2007&hl=en",91,"2025-03-14 11:11:13","","","","",,,,,1532,85.11,306,5,18,"… in component integration, automating theorem proving, repairing inconsistent data structures, … learning over correct and faulty programs to predict what properties in a different program …","https://www.sciencedirect.com/science/article/pii/S016764230700161X/pdf?md5=b2b7f01b59dd3137eaf94b20b775d716&pid=1-s2.0-S016764230700161X-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:W0Bw0WWQ52EJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
583,"M Monperrus","Automatic software repair: A bibliography",2018,"ACM Computing Surveys (CSUR)","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3105906","https://scholar.google.com/scholar?cites=6736303360407277782&as_sdt=2005&sciodt=2007&hl=en",10,"2025-03-14 11:11:13","","10.1145/3105906","","",,,,,583,83.29,583,1,7,"… based on deep learning to suggest … proof-based program verification on ML programs using Isabel as an oracle. When the proof fails, the counter-example of the proof drives a repair …","https://arxiv.org/pdf/1807.00515","https://scholar.google.com/scholar?q=related:1pBYQDcofF0J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
132,"E First, MN Rabe, T Ringer, Y Brun","Baldur: Whole-proof generation and repair with large language models",2023,"… 31st ACM Joint European Software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3611643.3616243","https://scholar.google.com/scholar?cites=3109420433114543079&as_sdt=2005&sciodt=2007&hl=en",31,"2025-03-14 11:11:13","","10.1145/3611643.3616243","","",,,,,132,66.00,33,4,2,"… in proof repair that further improves automated proof … proof from the original training example. We fine-tune the pretrained LLM on the proof repair training set to obtain the proof repair …","https://dl.acm.org/doi/pdf/10.1145/3611643.3616243","https://scholar.google.com/scholar?q=related:5zMi1WjhJisJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
233,"Q Zhu, Z Sun, Y Xiao, W Zhang, K Yuan, ...","A syntax-guided edit decoder for neural program repair",2021,"… on European software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3468264.3468544","https://scholar.google.com/scholar?cites=14974864335487906856&as_sdt=2005&sciodt=2007&hl=en",72,"2025-03-14 11:11:13","","10.1145/3468264.3468544","","",,,,,233,58.25,39,6,4,"… Proof. It is easy to see that the theorem holds by structural induction on the grammar of the edits… A systematic study of automated program repair: Fixing 55 out of 105 bugs for $8 each. In …","https://arxiv.org/pdf/2106.08253","https://scholar.google.com/scholar?q=related:KDRs3MVn0c8J:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
284,"H Wang, G Ye, Z Tang, SH Tan, ...","Combining graph-based learning with automated data collection for code vulnerability detection",2020,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9293321/","https://scholar.google.com/scholar?cites=548557031467549418&as_sdt=2005&sciodt=2007&hl=en",96,"2025-03-14 11:11:13","","","","",,,,,284,56.80,57,5,5,"… There is now ample evidence showing that machine learning techniques can exceed … fixing a code vulnerability or not. For training, we simply supply the expert models with the training …","https://eprints.whiterose.ac.uk/168594/16/TIFS_2021.pdf","https://scholar.google.com/scholar?q=related:6oKqt7bdnAcJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
394,"EK Smith, ET Barr, C Le Goues, Y Brun","Is the cure worse than the disease? overfitting in automated program repair",2015,"… on foundations of software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2786805.2786825","https://scholar.google.com/scholar?cites=3574471276823118201&as_sdt=2005&sciodt=2007&hl=en",21,"2025-03-14 11:11:13","","10.1145/2786805.2786825","","",,,,,394,39.40,99,4,10,"… The most common prior evaluations of automatic repair provide evidence of techniques’ … Our study admittedly uses small programs written by novice programmers, which threatens …","https://par.nsf.gov/servlets/purl/10019053","https://scholar.google.com/scholar?q=related:eQHhGrASmzEJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
385,"C Le Goues, N Holtschulte, EK Smith, ...","The ManyBugs and IntroClass benchmarks for automated repair of C programs",2015,"… on Software …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7153570/","https://scholar.google.com/scholar?cites=6464041612135744752&as_sdt=2005&sciodt=2007&hl=en",49,"2025-03-14 11:11:13","","","","",,,,,385,38.50,96,4,10,"… evidence to support claims about automatic program repair. … as researchers who study automatic repair. We mitigated this … in a focused study of fault localization for program repair [52]. …","https://ieeexplore.ieee.org/ielaam/32/7349123/7153570-aam.pdf","https://scholar.google.com/scholar?q=related:8MSxKJnjtFkJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
77,"N Tihanyi, R Jain, Y Charalambous, MA Ferrag, ...","A new era in software security: Towards self-healing software via large language models and formal verification",2023,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2305.14752","https://scholar.google.com/scholar?cites=17342284413158123647&as_sdt=2005&sciodt=2007&hl=en",95,"2025-03-14 11:11:13","","","","",,,,,77,38.50,15,5,2,"… We present the ESBMC-AI framework as a proof of concept, … ’s capability to automate the detection and repair of issues such … This research aims to study and identify the impact of formal …","https://arxiv.org/pdf/2305.14752","https://scholar.google.com/scholar?q=related:f2gVWMorrPAJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
37,"Q Zhang, C Fang, Y Xie, YX Ma, W Sun, Y Yang, ...","A systematic literature review on large language models for automated program repair",2024,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2405.01466","https://scholar.google.com/scholar?cites=684364348744560762&as_sdt=2005&sciodt=2007&hl=en",8,"2025-03-14 11:11:13","","","","",,,,,37,37.00,5,7,1,"… even further by requiring LLMs to perform program repair … LLMs for program repair in a zero-shot learning setting. The … to automate the generation and repair of whole formal proofs. …","https://arxiv.org/pdf/2405.01466","https://scholar.google.com/scholar?q=related:enDcz79ZfwkJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
228,"S Gulwani, I Radiček, F Zuleger","Automated clustering and program repair for introductory programming assignments",2018,"ACM SIGPLAN Notices","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3296979.3192387","https://scholar.google.com/scholar?cites=1593579633285766991&as_sdt=2005&sciodt=2007&hl=en",4,"2025-03-14 11:11:13","","10.1145/3296979.3192387","","",,,,,228,32.57,76,3,7,"… in programming education. In this paper, we present a novel fully automated program repair … Clara is able to repair 97% of student attempts, in 3.2s on average; we study the quality of …","https://dl.acm.org/doi/pdf/10.1145/3296979.3192387","https://scholar.google.com/scholar?q=related:T59LuzuIHRYJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
96,"X Gao, B Wang, GJ Duck, R Ji, Y Xiong, ...","Beyond tests: Program vulnerability repair via crash constraint extraction",2021,"… on Software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3418461","https://scholar.google.com/scholar?cites=8299058016620177967&as_sdt=2005&sciodt=2007&hl=en",66,"2025-03-14 11:11:13","","10.1145/3418461","","",,,,,96,24.00,16,6,4,"… Automated program repair is an emerging technology that … The extracted constraint serves as a proof obligation that our … separation logic [49] or learning repair strategies from the wild [1]…","https://dl.acm.org/doi/pdf/10.1145/3418461","https://scholar.google.com/scholar?q=related:L-oAu0stLHMJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
167,"J Yang, A Zhikhartsev, Y Liu, L Tan","Better test cases for better automated program repair",2017,"… meeting on foundations of software …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3106237.3106274","https://scholar.google.com/scholar?cites=10563745659949470496&as_sdt=2005&sciodt=2007&hl=en",3,"2025-03-14 11:11:13","","10.1145/3106237.3106274","","",,,,,167,20.88,42,4,8,"… We evaluate the proposed approach by applying it to improve four G&V techniques to repair … work, we study the effectiveness of test cases in the context of automated program repair. …","https://jinqiuyang.github.io/papers/opad-fse17.pdf","https://scholar.google.com/scholar?q=related:INPcZrX2mZIJ:scholar.google.com/&scioq=automated+program+repair+proof+learning&hl=en&as_sdt=2007"
